Binomial,bm_g,bs_cm,,,,
Diglossa_plumbea,9.97,1.00,,,,
Diglossa_sittoides,9.70,0.99,,,,
Diglossa_venezuelensis,12.55,1.10,,,,
Diglossopis_caerulescens,15.70,1.20,,,,
Diglossopis_cyanea,19.30,1.29,,,,
Diglossopis_glauca,13.00,1.11,,,,
Diglossopis_indigotica,18.00,1.26,,,,
Dinarolacerta_mosorensis,6.11,0.79,,,,
Dinaromys_bogdanovi,56.03,1.75,,,,
Dinematichthys_iluocoeteoides,3.90,0.59,,,,
Dinemellia_dinemelli,68.38,1.83,,,,
Dinodon_orientale,130.70,2.12,,,,
Dinodon_rufozonatum,511.77,2.71,,,,
Dinodon_semicarinatum,1905.57,3.28,,,,
Dinomys_branickii,10371.75,4.02,,,,
Dinoperca_petersi,5000.00,3.70,,,,
Dinopium_benghalense,103.75,2.02,,,,
Dinopium_benghalense_benghalense,121.00,2.08,,,,
Dinopium_everetti,76.78,1.89,,,,
Dinopium_javanense,79.76,1.90,,,,
Dinopium_rafflesii,103.00,2.01,,,,
Dinopium_shorii,101.00,2.00,,,,
Diodon_holocanthus,593.00,2.77,,,,
Diodon_hystrix,835.75,2.92,,,,
Diodon_nicthemerus,1317.99,3.12,,,,
Diomedea_albatrus,4000.00,3.60,,,,
Diomedea_amsterdamensis,6961.97,3.84,,,,
Diomedea_antipodensis,7375.65,3.87,,,,
Diomedea_bulleri,2849.66,3.45,,,,
Diomedea_cauta,3951.15,3.60,,,,
Diomedea_chlororhynchos,2137.96,3.33,,,,
Diomedea_chrysostoma,3676.17,3.57,,,,
Diomedea_dabbenena,7332.77,3.87,,,,
Diomedea_epomophora,8741.87,3.94,,,,
Diomedea_epomophora_sanfordi,6800.00,3.83,,,,
Diomedea_exulans,8145.97,3.91,,,,
Diomedea_exulans_antipodensis,6650.00,3.82,,,,
Diomedea_exulans_gibsoni,7950.00,3.90,,,,
Diomedea_immutabilis,3154.11,3.50,,,,
Diomedea_irrorata,3382.42,3.53,,,,
Diomedea_melanophris,3332.66,3.52,,,,
Diomedea_nigripes,3175.35,3.50,,,,
Diomedea_sanfordi,8387.81,3.92,,,,
Diomys_crumpi,73.85,1.87,,,,
Diopsittaca_nobilis,157.73,2.20,,,,
Dioptrornis_brunneus,26.84,1.43,,,,
Dioptrornis_chocolatinus,23.29,1.37,,,,
Dioptrornis_fischeri,23.60,1.37,,,,
Diphylla_ecaudata,26.79,1.43,,,,
Diphyllodes_magnificus,141.13,2.15,,,,
Diplodactylus_alboguttatus,3.95,0.60,,,,
Diplodactylus_byrnei,3.85,0.59,,,,
Diplodactylus_conspicillatus,5.08,0.71,,,,
Diplodactylus_fulleri,2.86,0.46,,,,
Diplodactylus_furcosus,2.77,0.44,,,,
Diplodactylus_galeatus,3.38,0.53,,,,
Diplodactylus_granariensis,7.79,0.89,,,,
Diplodactylus_immaculatus,12.60,1.10,,,,
Diplodactylus_kenneallyi,2.40,0.38,,,,
Diplodactylus_klugei,4.16,0.62,,,,
Diplodactylus_maini,3.38,0.53,,,,
Diplodactylus_mitchelli,5.84,0.77,,,,
Diplodactylus_occultus,1.52,0.18,,,,
Diplodactylus_ornatus,3.18,0.50,,,,
Diplodactylus_polyophthalmus,3.43,0.54,,,,
Diplodactylus_pulcher,3.89,0.59,,,,
Diplodactylus_savagei,2.12,0.33,,,,
Diplodactylus_squarrosus,3.95,0.60,,,,
Diplodactylus_steindachneri,4.37,0.64,,,,
Diplodactylus_stenodactylus,3.95,0.60,,,,
Diplodactylus_taenicauda,8.10,0.91,,,,
Diplodactylus_tessellatus,3.58,0.55,,,,
Diplodactylus_vittatus,3.56,0.55,,,,
Diplodactylus_wombeyi,3.38,0.53,,,,
Diplodocus_,12536200.00,7.10,,,,
Diplodocus_carnegeii,16110112.00,7.21,,,,
Diplodocus_carnegiei,19654600.00,7.29,,,,
Diplodus_annularis,82.67,1.92,,,,
Diplodus_argenteus_argenteus,2500.00,3.40,,,,
Diplodus_capensis,1914.02,3.28,,,,
Diplodus_cervinus,1468.40,3.17,,,,
Diplodus_hottentotus,3432.35,3.54,,,,
Diplodus_noct,154.00,2.19,,,,
Diplodus_puntazzo,1680.00,3.23,,,,
Diplodus_sargus_sargus,1870.00,3.27,,,,
Diplodus_vulgaris,1300.00,3.11,,,,
Diplogale_hosei,4676.32,3.67,,,,
Diploglossus_atitlanensis,29.88,1.48,,,,
Diploglossus_bilobatus,16.53,1.22,,,,
Diploglossus_delasagra,31.07,1.49,,,,
Diploglossus_fasciatus,90.52,1.96,,,,
Diploglossus_garridoi,18.72,1.27,,,,
Diploglossus_ingridae,19.89,1.30,,,,
Diploglossus_legnotus,25.06,1.40,,,,
Diploglossus_lessonae,66.05,1.82,,,,
Diploglossus_maculatus,8.68,0.94,,,,
Diploglossus_microcephalus,2.32,0.37,,,,
Diploglossus_microlepis,6.62,0.82,,,,
Diploglossus_millepunctatus,250.62,2.40,,,,
Diploglossus_monotropis,189.46,2.28,,,,
Diploglossus_montisilvestris,17.06,1.23,,,,
Diploglossus_montisserrati,108.35,2.03,,,,
Diploglossus_nigropunctatus,23.69,1.37,,,,
Diploglossus_owenii,4.19,0.62,,,,
Diploglossus_pleii,74.81,1.87,,,,
Diplolaemus_bibronii,51.26,1.71,,,,
Diplolaemus_darwinii,51.26,1.71,,,,
Diplolaemus_leopardinus,13.76,1.14,,,,
Diplolaemus_sexcinctus,51.26,1.71,,,,
Diplomesodon_pulchellum,10.72,1.03,,,,
Diplometopon_zarudnyi,7.00,0.85,,,,
Diplomys_caniceps,395.01,2.60,,,,
Diplomys_labilis,227.20,2.36,,,,
Diplomys_rufodorsalis,144.76,2.16,,,,
Diplomystes_nahuelbutaensis,2.01,0.30,,,,
Diploprion_bifasciatum,95.00,1.98,,,,
Diplotaxodon__limnothrissa,60.00,1.78,,,,
Diplotaxodon_limnothrissa,60.00,1.78,,,,
Diplothrix_legata,76.52,1.88,,,,
Dipodillus_bottai,35.10,1.55,,,,
Dipodillus_campestris,27.68,1.44,,,,
Dipodillus_dasyurus,27.50,1.44,,,,
Dipodillus_harwoodi,23.63,1.37,,,,
Dipodillus_jamesi,23.63,1.37,,,,
Dipodillus_lowei,34.71,1.54,,,,
Dipodillus_mackilligini,34.37,1.54,,,,
Dipodillus_maghrebi,23.63,1.37,,,,
Dipodillus_rupicola,23.63,1.37,,,,
Dipodillus_simoni,19.15,1.28,,,,
Dipodillus_somalicus,32.21,1.51,,,,
Dipodillus_stigmonyx,32.16,1.51,,,,
Dipodillus_zakariai,35.95,1.56,,,,
Dipodomys_agilis,59.37,1.77,,,,
Dipodomys_californicus,82.77,1.92,,,,
Dipodomys_compactus,49.23,1.69,,,,
Dipodomys_deserti,85.78,1.93,,,,
Dipodomys_elator,89.65,1.95,,,,
Dipodomys_elephantinus,77.29,1.89,,,,
Dipodomys_gravipes,83.86,1.92,,,,
Dipodomys_heermanni,53.14,1.73,,,,
Dipodomys_ingens,127.84,2.11,,,,
Dipodomys_insularis,38.21,1.58,,,,
Dipodomys_merriami,31.41,1.50,,,,
Dipodomys_microps,42.06,1.62,,,,
Dipodomys_nelsoni,88.39,1.95,,,,
Dipodomys_nitratoides,32.23,1.51,,,,
Dipodomys_ordii,50.33,1.70,,,,
Dipodomys_panamintinus,59.63,1.78,,,,
Dipodomys_phillipsii,40.96,1.61,,,,
Dipodomys_simulans,70.36,1.85,,,,
Dipodomys_spectabilis,100.12,2.00,,,,
Dipodomys_stephensi,51.84,1.71,,,,
Dipodomys_venustus,77.50,1.89,,,,
Diporiphora_albilabris,4.94,0.69,,,,
Diporiphora_arnhemica,6.00,0.78,,,,
Diporiphora_australis,3.03,0.48,,,,
Diporiphora_bennettii,12.13,1.08,,,,
Diporiphora_bilineata,8.18,0.91,,,,
Diporiphora_convergens,0.97,-0.01,,,,
Diporiphora_lalliae,10.43,1.02,,,,
Diporiphora_linga,5.45,0.74,,,,
Diporiphora_magna,15.54,1.19,,,,
Diporiphora_margaretae,4.94,0.69,,,,
Diporiphora_pindan,5.45,0.74,,,,
Diporiphora_reginae,8.89,0.95,,,,
Diporiphora_superba,18.92,1.28,,,,
Diporiphora_valens,6.88,0.84,,,,
Diporiphora_winneckei,4.98,0.70,,,,
Diprotodon_minor,896500.38,5.95,,,,
Diprotodon_optatum,1504520.42,6.18,,,,
Dipsadoboa_unicolor,928.90,2.97,,,,
Dipsadoboa_viridis,47.00,1.67,,,,
Dipsas_articulata,42.35,1.63,,,,
Dipsas_bicolor,137.58,2.14,,,,
Dipsas_brevifacies,78.31,1.89,,,,
Dipsas_bucephala,420.00,2.62,,,,
Dipsas_catesbyi,135.46,2.13,,,,
Dipsas_copei,383.77,2.58,,,,
Dipsas_indica,419.80,2.62,,,,
Dipsas_indicata,354.42,2.55,,,,
Dipsas_latifrontalis,383.77,2.58,,,,
Dipsas_pavonina,383.77,2.58,,,,
Dipsas_perijanensis,288.65,2.46,,,,
Dipsas_tenuissima,64.84,1.81,,,,
Dipsas_variegata,195.61,2.29,,,,
Dipsosaurus_dorsalis,79.99,1.90,,,,
Dipturus_innominatus,1500.00,3.18,,,,
Dipturus_laevis,18000.00,4.26,,,,
Dipturus_linteus,11200.00,4.05,,,,
Dipturus_nidarosiensis,9000.00,3.95,,,,
Dipus_sagitta,88.20,1.95,,,,
Dischistodus_perspicillatus,147.00,2.17,,,,
Discoglossus_galganoi,21.80,1.34,,,,
Discoglossus_pictus,22.05,1.34,,,,
Discosura_conversii,3.00,0.48,,,,
Discosura_langsdorffi,2.73,0.44,,,,
Discosura_letitiae,2.83,0.45,,,,
Discosura_longicauda,3.40,0.53,,,,
Discosura_longicaudus,3.40,0.53,,,,
Discosura_popelairii,2.50,0.40,,,,
Dispholidus_typus,3765.04,3.58,,,,
Dissostichus_eleginoides,4332.00,3.64,,,,
Dissostichus_mawsoni,80000.00,4.90,,,,
Disteria_kingi,1305.76,3.12,,,,
Disteria_major,1305.76,3.12,,,,
Distichodus_brevipinnis,6000.00,3.78,,,,
Distichodus_engycephalus,1500.00,3.18,,,,
Distichodus_fasciolatus,3000.00,3.48,,,,
Distichodus_mossambicus,7555.00,3.88,,,,
Distichodus_nefasch,6200.00,3.79,,,,
Distichodus_rostratus,6250.00,3.80,,,,
Distichodus_schenga,6350.00,3.80,,,,
Distoechurus_pennatus,47.65,1.68,,,,
Diuca_diuca,38.70,1.59,,,,
Dives_atroviolaceus,85.26,1.93,,,,
Dives_dives,93.03,1.97,,,,
Dives_warczewiczi,90.80,1.96,,,,
Dives_warszewiczi,73.30,1.87,,,,
Dixiphia_chloromeros,16.50,1.22,,,,
Dixiphia_cornuta,25.15,1.40,,,,
Dixiphia_erythrocephala,13.60,1.13,,,,
Dixiphia_mentalis,14.93,1.17,,,,
Dixiphia_pipra,11.15,1.05,,,,
Dixiphia_rubrocapilla,11.80,1.07,,,,
Dixonius_hangseesom,1.64,0.21,,,,
Dixonius_melanostictus,2.70,0.43,,,,
Dixonius_siamensis,3.95,0.60,,,,
Dixonius_vietnamensis,2.19,0.34,,,,
Djokoiskandarus_annulata,95.00,1.98,,,,
Dobsonia_anderseni,253.59,2.40,,,,
Dobsonia_beauforti,161.65,2.21,,,,
Dobsonia_chapmani,251.75,2.40,,,,
Dobsonia_crenulata,221.02,2.34,,,,
Dobsonia_emersa,197.81,2.30,,,,
Dobsonia_exoleta,272.04,2.43,,,,
Dobsonia_inermis,150.60,2.18,,,,
Dobsonia_magna,453.04,2.66,,,,
Dobsonia_minor,80.61,1.91,,,,
Dobsonia_moluccensis,347.33,2.54,,,,
Dobsonia_pannietensis,272.71,2.44,,,,
Dobsonia_peroni,217.53,2.34,,,,
Dobsonia_peronii,191.69,2.28,,,,
Dobsonia_praedatrix,165.65,2.22,,,,
Dobsonia_viridis,239.41,2.38,,,,
Doedicurus_clavicaudatus,1471702.80,6.17,,,,
Dogania_subplana,5554.02,3.74,,,,
Dolichonyx_oryzivorus,32.02,1.51,,,,
Dolichophis_caspius,10592.00,4.02,,,,
Dolichophis_jugularis,10592.00,4.02,,,,
Dolichophis_schmidti,10592.00,4.02,,,,
Dolichotis_patagonum,7871.29,3.90,,,,
Dolichotis_salinicola,1345.94,3.13,,,,
Doliornis_remseni,66.43,1.82,,,,
Doliornis_sclateri,63.27,1.80,,,,
Dologale_dybowskii,354.64,2.55,,,,
Dolospingus_fringilloides,12.70,1.10,,,,
Donacobius_atricapilla,39.43,1.60,,,,
Donacospiza_albifrons,16.29,1.21,,,,
Dopasia_gracilis,11.18,1.05,,,,
Doratonotus_megalepis,10.80,1.03,,,,
Dorcatragus_megalotis,10533.86,4.02,,,,
Dorcopsis_atrata,5531.52,3.74,,,,
Dorcopsis_hageni,5499.34,3.74,,,,
Dorcopsis_luctuosa,5642.78,3.75,,,,
Dorcopsis_muelleri,5427.90,3.73,,,,
Dorcopsulus_macleayi,2933.29,3.47,,,,
Dorcopsulus_vanheurni,1845.65,3.27,,,,
Doricha_eliza,2.57,0.41,,,,
Doricha_enicura,2.40,0.38,,,,
Dormitator_latifrons,366.57,2.56,,,,
Dorosoma_cepedianum,1980.00,3.30,,,,
Dorosoma_petenense,295.11,2.47,,,,
Doryfera_johannae,4.64,0.67,,,,
Doryfera_johannae_guianensis,5.50,0.74,,,,
Doryfera_ludovicae,5.83,0.77,,,,
Doryichthys_boaja,11.27,1.05,,,,
Doryichthys_deokhatoides,0.54,-0.27,,,,
Doryichthys_martensii,0.52,-0.28,,,,
Doryrhamphus_japonicus,0.43,-0.37,,,,
Dracaena_guianensis,1943.65,3.29,,,,
Dracaena_paraguayensis,3162.97,3.50,,,,
Draco_beccarii,6.00,0.78,,,,
Draco_biaro,6.83,0.83,,,,
Draco_bimaculatus,6.74,0.83,,,,
Draco_blanfordii,35.30,1.55,,,,
Draco_boschmai,8.48,0.93,,,,
Draco_bourouniensis,6.00,0.78,,,,
Draco_caerulhians,9.73,0.99,,,,
Draco_cornutus,13.82,1.14,,,,
Draco_cristatellus,13.54,1.13,,,,
Draco_cyanopterus,15.51,1.19,,,,
Draco_dussumieri,21.43,1.33,,,,
Draco_fimbriatus,35.95,1.56,,,,
Draco_formosus,9.30,0.97,,,,
Draco_guentheri,12.92,1.11,,,,
Draco_haematopogon,12.93,1.11,,,,
Draco_indochinensis,15.00,1.18,,,,
Draco_jareckii,17.18,1.24,,,,
Draco_lineatus,9.53,0.98,,,,
Draco_maculatus,11.07,1.04,,,,
Draco_maximus,51.49,1.71,,,,
Draco_melanopogon,12.17,1.09,,,,
Draco_mindanensis,20.04,1.30,,,,
Draco_modiglianii,6.00,0.78,,,,
Draco_norvillii,22.21,1.35,,,,
Draco_obscurus,21.91,1.34,,,,
Draco_ornatus,12.69,1.10,,,,
Draco_palawanensis,10.71,1.03,,,,
Draco_quadrasi,9.39,0.97,,,,
Draco_quinquefasciatus,21.33,1.33,,,,
Draco_reticulatus,13.98,1.15,,,,
Draco_rhytisma,6.00,0.78,,,,
Draco_spilonotus,6.00,0.78,,,,
Draco_spilopterus,18.09,1.26,,,,
Draco_sumatranus,8.48,0.93,,,,
Draco_taeniopterus,8.47,0.93,,,,
Draco_timorensis,8.48,0.93,,,,
Draco_volans,14.63,1.17,,,,
Dravidogecko_anamallensis,1.99,0.30,,,,
Dremomys_everetti,132.24,2.12,,,,
Dremomys_gularis,195.65,2.29,,,,
Dremomys_lokriah,212.09,2.33,,,,
Dremomys_pernyi,198.75,2.30,,,,
Dremomys_pyrrhomerus,184.03,2.26,,,,
Dremomys_rufigenis,200.07,2.30,,,,
Drepane_africana,750.00,2.88,,,,
Drepanoides_anomalus,82.03,1.91,,,,
Drepanoptila_holosericea,216.67,2.34,,,,
Drepanorhynchus_reichenowi,14.75,1.17,,,,
Drepanornis_albertisi,110.00,2.04,,,,
Drepanornis_bruijnii,153.75,2.19,,,,
Dreptes_thomensis,22.48,1.35,,,,
Dromaeocercus_brunneus,14.35,1.16,,,,
Dromaeocercus_seebohmi,13.20,1.12,,,,
Dromaius_novaehollandiae,38674.12,4.59,,,,
Dromas_ardeola,319.75,2.50,,,,
Drombus_triangularis,4.88,0.69,,,,
Dromiceiomimus_brevitertius,193689.00,5.29,,,,
Dromiciops_gliroides,23.83,1.38,,,,
Dromicus_chamissonis,444.69,2.65,,,,
Dromicus_poecilogyrus,119.74,2.08,,,,
Dromicus_trachymenoides,457.61,2.66,,,,
Dromicus_viridis,47.31,1.67,,,,
Dromococcyx_pavoninus,47.41,1.68,,,,
Dromococcyx_phasianellus,86.42,1.94,,,,
Dromophis_lineatus,682.46,2.83,,,,
Dryadosaura_nordestina,1.02,0.01,,,,
Drymarchon_corais,8854.96,3.95,,,,
Drymarchon_couperi,7118.00,3.85,,,,
Drymarchon_margaritae,7118.00,3.85,,,,
Drymarchon_melanurus,7118.00,3.85,,,,
Drymobius_margaritiferus,835.53,2.92,,,,
Drymobius_melanotropis,847.57,2.93,,,,
Drymobius_rhombifer,726.06,2.86,,,,
Drymocichla_incana,10.00,1.00,,,,
Drymodes_brunneopygia,34.91,1.54,,,,
Drymodes_superciliaris,49.48,1.69,,,,
Drymoluber_dichrous,1076.88,3.03,,,,
Drymophila_caudata,11.90,1.08,,,,
Drymophila_devillei,10.23,1.01,,,,
Drymophila_ferruginea,11.08,1.04,,,,
Drymophila_genei,11.08,1.04,,,,
Drymophila_hellmayri,11.90,1.08,,,,
Drymophila_klagesi,11.90,1.08,,,,
Drymophila_malura,14.33,1.16,,,,
Drymophila_ochropyga,10.56,1.02,,,,
Drymophila_rubricollis,10.00,1.00,,,,
Drymophila_squamata,10.86,1.04,,,,
Drymophila_striaticeps,11.90,1.08,,,,
Drymornis_bridgesii,94.16,1.97,,,,
Drymotoxeres_pucheranii,70.50,1.85,,,,
Dryobates__minor,26.00,1.41,,,,
Dryobates_pubescens_medianus,42.52,1.63,,,,
Dryobates_villosus_villosus,85.05,1.93,,,,
Dryocalamus_davisonii,298.17,2.47,,,,
Dryocalamus_subannulatus,47.16,1.67,,,,
Dryocopus_galeatus,124.00,2.09,,,,
Dryocopus_hodgei,188.92,2.28,,,,
Dryocopus_javensis,272.08,2.43,,,,
Dryocopus_javensis_pectoralis,307.00,2.49,,,,
Dryocopus_lineatus,187.26,2.27,,,,
Dryocopus_martius,319.83,2.50,,,,
Dryocopus_pileatus,312.40,2.49,,,,
Dryocopus_schulzi,200.00,2.30,,,,
Dryolimnas_cuvieri,195.85,2.29,,,,
Dryomys_laniger,24.43,1.39,,,,
Dryomys_niethammeri,25.92,1.41,,,,
Dryomys_nitedula,24.80,1.39,,,,
Dryophiops_rubescens,383.89,2.58,,,,
Dryosaurus_,70000.00,4.85,,,,
Dryosaurus_canaliculatus,6371.00,3.80,,,,
Dryoscopus_angolensis,35.56,1.55,,,,
Dryoscopus_cubla,29.02,1.46,,,,
Dryoscopus_gambensis,32.50,1.51,,,,
Dryoscopus_pringlii,19.48,1.29,,,,
Dryoscopus_sabini,38.93,1.59,,,,
Dryoscopus_senegalensis,31.65,1.50,,,,
Dryotriorchis_spectabilis,697.00,2.84,,,,
Dryptosaurus_aquilungius,1273399.00,6.10,,,,
Duberria_lutrix,30.00,1.48,,,,
Duberria_shirana,30.00,1.48,,,,
Dubusia_taeniata,40.00,1.60,,,,
Ducula_aenea,592.00,2.77,,,,
Ducula_aurorae,507.19,2.71,,,,
Ducula_badia,547.16,2.74,,,,
Ducula_bakeri,394.00,2.60,,,,
Ducula_basilica,471.60,2.67,,,,
Ducula_bicolor,451.17,2.65,,,,
Ducula_bicolor_luctuosa,410.00,2.61,,,,
Ducula_bicolor_spilorrhoa,535.00,2.73,,,,
Ducula_brenchleyi,380.00,2.58,,,,
Ducula_carola,299.33,2.48,,,,
Ducula_chalconota,504.25,2.70,,,,
Ducula_cineracea,507.19,2.71,,,,
Ducula_concinna,847.39,2.93,,,,
Ducula_finschii,345.48,2.54,,,,
Ducula_forsteni,510.00,2.71,,,,
Ducula_galeata,507.19,2.71,,,,
Ducula_goliath,600.00,2.78,,,,
Ducula_lacernulata,150.00,2.18,,,,
Ducula_latrans,365.11,2.56,,,,
Ducula_luctuosa,410.00,2.61,,,,
Ducula_melanochroa,665.00,2.82,,,,
Ducula_mindorensis,507.19,2.71,,,,
Ducula_mullerii,593.72,2.77,,,,
Ducula_myristicivora,549.16,2.74,,,,
Ducula_neglecta,671.00,2.83,,,,
Ducula_nicobarica,587.00,2.77,,,,
Ducula_oceanica,383.51,2.58,,,,
Ducula_pacifica,403.07,2.61,,,,
Ducula_perspicillata,689.33,2.84,,,,
Ducula_pickeringii,507.19,2.71,,,,
Ducula_pinon,771.33,2.89,,,,
Ducula_pistrinaria,517.67,2.71,,,,
Ducula_poliocephala,579.17,2.76,,,,
Ducula_radiata,295.00,2.47,,,,
Ducula_rosacea,395.03,2.60,,,,
Ducula_rubricera,691.42,2.84,,,,
Ducula_rufigaster,436.00,2.64,,,,
Ducula_spilorrhoa,471.04,2.67,,,,
Ducula_subflavescens,449.37,2.65,,,,
Ducula_whartoni,592.97,2.77,,,,
Ducula_zoeae,568.00,2.75,,,,
Dugong_dugon,294739.12,5.47,,,,
Dulus_dominicus,49.53,1.69,,,,
Dumetella_carolinensis,38.22,1.58,,,,
Dumetia_hyperythra,13.60,1.13,,,,
Dunckerocampus_dactyliophorus,0.10,-1.00,,,,
Dunckerocampus_pessuliferus,0.67,-0.17,,,,
Dupetor_flavicollis,346.80,2.54,,,,
Dusicyon_australis,30723.15,4.49,,,,
Dusicyon_avus,12960.83,4.11,,,,
Dussumieria_elopsoides,21.00,1.32,,,,
Duttaphrynus_melanostictus,122.30,2.09,,,,
Dyacopterus_brooksi,78.58,1.90,,,,
Dyacopterus_spadiceus,79.83,1.90,,,,
Dymecodon_pilirostris,15.46,1.19,,,,
Dyscophus_antongilii,105.00,2.02,,,,
Dyscophus_guineti,145.60,2.16,,,,
Dysithamnus_leucostictus,20.25,1.31,,,,
Dysithamnus_mentalis,16.66,1.22,,,,
Dysithamnus_mentalis_andrei,14.50,1.16,,,,
Dysithamnus_mentalis_cumbreanus,15.00,1.18,,,,
Dysithamnus_occidentalis,16.16,1.21,,,,
Dysithamnus_plumbeus,21.33,1.33,,,,
Dysithamnus_puncticeps,15.00,1.18,,,,
Dysithamnus_stictothorax,16.16,1.21,,,,
Dysithamnus_striaticeps,12.00,1.08,,,,
Dysithamnus_xanthopterus,16.16,1.21,,,,
Dysolotosaurus_lettowvorbecki,96267.00,4.98,,,,
Ebenavia_inunguis,1.63,0.21,,,,
Ebenavia_maintimainty,0.32,-0.49,,,,
Echeneis_naucrates,1621.67,3.21,,,,
Echidna_nebulosa,35.35,1.55,,,,
Echiichthys_vipera,38.50,1.59,,,,
Echimys_blainvillei,244.02,2.39,,,,
Echimys_braziliensis,311.34,2.49,,,,
Echimys_chrysurus,636.46,2.80,,,,
Echimys_dasythrix,259.01,2.41,,,,
Echimys_grandis,585.61,2.77,,,,
Echimys_lamarum,214.73,2.33,,,,
Echimys_macrurus,438.17,2.64,,,,
Echimys_nigrispinus,224.16,2.35,,,,
Echimys_pictus,520.94,2.72,,,,
Echimys_rhipidurus,315.41,2.50,,,,
Echimys_saturnus,627.48,2.80,,,,
Echimys_semivillosus,235.23,2.37,,,,
Echimys_thomasi,560.91,2.75,,,,
Echimys_unicolor,438.17,2.64,,,,
Echinoprocta_rufescens,831.79,2.92,,,,
Echinops_telfairi,124.40,2.09,,,,
Echinosaura_brachycephala,11.83,1.07,,,,
Echinosaura_horrida,10.48,1.02,,,,
Echinosaura_orcesi,13.34,1.13,,,,
Echinosaura_palmeri,4.80,0.68,,,,
Echinosaura_panamensis,4.80,0.68,,,,
Echinosaura_sulcarostrum,1.64,0.21,,,,
Echinosorex_gymnura,775.17,2.89,,,,
Echiodon_drummondii,10.90,1.04,,,,
Echiopsis_curta,82.03,1.91,,,,
Echiothrix_centrosa,71.33,1.85,,,,
Echiothrix_leucura,63.68,1.80,,,,
Echis_carinatus,142.15,2.15,,,,
Echis_leucogaster,142.00,2.15,,,,
Echis_ocellatus,142.00,2.15,,,,
Echis_pyramidum,142.00,2.15,,,,
Echymipera_clara,1221.94,3.09,,,,
Echymipera_davidi,893.73,2.95,,,,
Echymipera_echinista,1087.69,3.04,,,,
Echymipera_kalubu,792.49,2.90,,,,
Echymipera_rufescens,1075.75,3.03,,,,
Eclectus_roratus,515.32,2.71,,,,
Ecpleopus_gaudichaudii,1.41,0.15,,,,
Ectodus_descampsii,8.69,0.94,,,,
Ectophylla_alba,5.71,0.76,,,,
Ectopistes_migratorius,326.56,2.51,,,,
Edalorhina_perezi,4.63,0.67,,,,
Egernia_arnhemensis,147.27,2.17,,,,
Egernia_carinata,25.63,1.41,,,,
Egernia_coventryi,81.52,1.91,,,,
Egernia_cunninghami,345.06,2.54,,,,
Egernia_depressa,28.21,1.45,,,,
Egernia_douglasi,79.49,1.90,,,,
Egernia_formosa,27.25,1.44,,,,
Egernia_frerei,242.82,2.39,,,,
Egernia_guthega,30.69,1.49,,,,
Egernia_hosmeri,147.27,2.17,,,,
Egernia_inornata,12.22,1.09,,,,
Egernia_kingii,336.54,2.53,,,,
Egernia_kintorei,207.27,2.32,,,,
Egernia_luctuosa,51.24,1.71,,,,
Egernia_major,1823.99,3.26,,,,
Egernia_margaretae,25.63,1.41,,,,
Egernia_mcpheei,69.81,1.84,,,,
Egernia_modesta,31.60,1.50,,,,
Egernia_montana,29.80,1.47,,,,
Egernia_multiscutata,19.16,1.28,,,,
Egernia_napoleonis,55.18,1.74,,,,
Egernia_pilbarensis,40.60,1.61,,,,
Egernia_pulchra,29.80,1.47,,,,
Egernia_richardi,25.63,1.41,,,,
Egernia_rugosa,295.05,2.47,,,,
Egernia_saxatilis,57.92,1.76,,,,
Egernia_slateri,18.52,1.27,,,,
Egernia_stokesii,215.25,2.33,,,,
Egernia_striata,27.05,1.43,,,,
Egernia_striolata,37.56,1.57,,,,
Egernia_whittii,32.52,1.51,,,,
Egretta_ardesiaca,347.00,2.54,,,,
Egretta_caerulea,348.62,2.54,,,,
Egretta_dimorpha,495.00,2.69,,,,
Egretta_eulophotes,474.83,2.68,,,,
Egretta_garzetta,398.41,2.60,,,,
Egretta_gularis,378.00,2.58,,,,
Egretta_intermedia,510.83,2.71,,,,
Egretta_novaehollandiae,582.02,2.76,,,,
Egretta_picata,315.50,2.50,,,,
Egretta_rufescens,677.56,2.83,,,,
Egretta_sacra,523.99,2.72,,,,
Egretta_thula,370.42,2.57,,,,
Egretta_tricolor,340.72,2.53,,,,
Egretta_vinaceigula,315.75,2.50,,,,
Eidolon_dupreanum,259.49,2.41,,,,
Eidolon_helvum,230.31,2.36,,,,
Eigenmannia_virescens,59.00,1.77,,,,
Eira_barbara,3247.90,3.51,,,,
Eirenis_collaris,20.65,1.31,,,,
Eirenis_coronella,13.49,1.13,,,,
Eirenis_meda,30.00,1.48,,,,
Eirenis_modesta,86.25,1.94,,,,
Eirenis_persicus,22.34,1.35,,,,
Eirenis_punctatolineata,74.07,1.87,,,,
Elachistocleis_bicolor,3.60,0.56,,,,
Elachistocleis_cesarii,8.50,0.93,,,,
Elachistocleis_ovalis,40.00,1.60,,,,
Elachistocleis_surinamensis,48.00,1.68,,,,
Elaenia_albiceps,16.28,1.21,,,,
Elaenia_chilensis,15.55,1.19,,,,
Elaenia_chiriquensis,17.41,1.24,,,,
Elaenia_cristata,19.43,1.29,,,,
Elaenia_dayi,19.84,1.30,,,,
Elaenia_fallax,14.65,1.17,,,,
Elaenia_flavogaster,25.42,1.41,,,,
Elaenia_frantzii,20.55,1.31,,,,
Elaenia_gigas,31.00,1.49,,,,
Elaenia_martinica,23.76,1.38,,,,
Elaenia_mesoleuca,18.45,1.27,,,,
Elaenia_obscura,27.55,1.44,,,,
