Binomial,bm_g,bs_cm,,,,
Acanthocercus_phillipsii,20.68,1.32,,,,
Acanthocercus_trachypleurus,8.53,0.93,,,,
Acanthocercus_yemensis,50.84,1.71,,,,
Acanthocercus_zonurus,10.03,1.00,,,,
Acanthochelys_pallidipectoris,369.20,2.57,,,,
Acanthocybium_solandri,47600.00,4.68,,,,
Acanthodactylus_ahmaddisii,12.07,1.08,,,,
Acanthodactylus_arabicus,11.35,1.05,,,,
Acanthodactylus_aureus,6.61,0.82,,,,
Acanthodactylus_bedriagai,8.92,0.95,,,,
Acanthodactylus_beershebensis,17.88,1.25,,,,
Acanthodactylus_blanci,22.18,1.35,,,,
Acanthodactylus_blanfordii,10.44,1.02,,,,
Acanthodactylus_boskianus,15.24,1.18,,,,
Acanthodactylus_boueti,5.99,0.78,,,,
Acanthodactylus_busacki,9.83,0.99,,,,
Acanthodactylus_cantoris,21.44,1.33,,,,
Acanthodactylus_dumerilii,7.37,0.87,,,,
Acanthodactylus_erythrurus,11.79,1.07,,,,
Acanthodactylus_felicis,5.69,0.76,,,,
Acanthodactylus_gongrorhynchatus,3.45,0.54,,,,
Acanthodactylus_grandis,28.70,1.46,,,,
Acanthodactylus_guineensis,5.12,0.71,,,,
Acanthodactylus_haasi,3.05,0.48,,,,
Acanthodactylus_hardyi,7.10,0.85,,,,
Acanthodactylus_lineomaculatus,15.02,1.18,,,,
Acanthodactylus_longipes,6.40,0.81,,,,
Acanthodactylus_maculatus,6.55,0.82,,,,
Acanthodactylus_masirae,3.25,0.51,,,,
Acanthodactylus_micropholis,6.61,0.82,,,,
Acanthodactylus_nilsoni,9.74,0.99,,,,
Acanthodactylus_opheodurus,4.85,0.69,,,,
Acanthodactylus_orientalis,5.99,0.78,,,,
Acanthodactylus_pardalis,8.92,0.95,,,,
Acanthodactylus_robustus,8.38,0.92,,,,
Acanthodactylus_savignyi,10.44,1.02,,,,
Acanthodactylus_schmidti,22.51,1.35,,,,
Acanthodactylus_schreiberi,19.44,1.29,,,,
Acanthodactylus_scutellatus,9.23,0.97,,,,
Acanthodactylus_senegalensis,5.12,0.71,,,,
Acanthodactylus_spinicauda,4.85,0.69,,,,
Acanthodactylus_taghitensis,3.88,0.59,,,,
Acanthodactylus_tilburyi,6.61,0.82,,,,
Acanthodactylus_tristrami,22.18,1.35,,,,
Acanthodactylus_yemenicus,4.00,0.60,,,,
Acanthogobius_flavimanus,88.48,1.95,,,,
Acanthogobius_hasta,400.00,2.60,,,,
Acanthonus_armatus,2.30,0.36,,,,
Acanthopagrus__australis,4500.00,3.65,,,,
Acanthopagrus_australis,4500.00,3.65,,,,
Acanthopagrus_berda,3200.00,3.51,,,,
Acanthopagrus_bifasciatus,68.20,1.83,,,,
Acanthopagrus_butcheri,4000.00,3.60,,,,
Acanthopagrus_latus,1500.00,3.18,,,,
Acanthopagrus_morrisoni,2000.00,3.30,,,,
Acanthopagrus_schlegelii,3200.00,3.51,,,,
Acanthophis_antarcticus,383.89,2.58,,,,
Acanthophis_laevis,384.00,2.58,,,,
Acanthophis_praelongus,130.85,2.12,,,,
Acanthophis_pyrrhus,383.89,2.58,,,,
Acanthophis_rugosus,384.00,2.58,,,,
"Acanthopsetta_nadeshnyi_Schmidt,",1200.00,3.08,,,,
Acanthorhynchus_superciliosus,10.40,1.02,,,,
Acanthorhynchus_tenuirostris,10.25,1.01,,,,
Acanthorhynchus_tenuirostris_dubius,11.15,1.05,,,,
Acanthorhynchus_tenuirostris_tenuirostris,12.90,1.11,,,,
Acanthornis_magna,10.19,1.01,,,,
Acanthornis_magnus,10.59,1.02,,,,
Acanthosaura_armata,63.27,1.80,,,,
Acanthosaura_capra,60.51,1.78,,,,
Acanthosaura_crucigera,63.27,1.80,,,,
Acanthosaura_lepidogaster,31.90,1.50,,,,
Acanthosaura_nataliae,90.41,1.96,,,,
Acanthostracion_polygonius,320.00,2.51,,,,
Acanthurus_achilles,235.00,2.37,,,,
Acanthurus_bahianus,106.30,2.03,,,,
Acanthurus_chirurgus,35.00,1.54,,,,
Acanthurus_coeruleus,118.00,2.07,,,,
Acanthurus_dussumieri,451.23,2.65,,,,
Acanthurus_grammoptilus,900.00,2.95,,,,
Acanthurus_guttatus,288.00,2.46,,,,
Acanthurus_leucopareius,227.00,2.36,,,,
Acanthurus_leucosternon,310.20,2.49,,,,
Acanthurus_lineatus,278.50,2.44,,,,
Acanthurus_mata,255.85,2.41,,,,
Acanthurus_nigricans,264.00,2.42,,,,
Acanthurus_nigricauda,265.00,2.42,,,,
Acanthurus_nigrofuscus,48.93,1.69,,,,
Acanthurus_nigroris,98.70,1.99,,,,
Acanthurus_olivaceus,296.13,2.47,,,,
Acanthurus_pyroferus,154.00,2.19,,,,
Acanthurus_thompsoni,148.75,2.17,,,,
Acanthurus_tractus,106.33,2.03,,,,
Acanthurus_triostegus,72.74,1.86,,,,
Acanthurus_xanthopterus,677.25,2.83,,,,
Accipiter_albogularis,261.31,2.42,,,,
Accipiter_badius,137.66,2.14,,,,
Accipiter_bicolor,334.14,2.52,,,,
Accipiter_brachyurus,142.00,2.15,,,,
Accipiter_brevipes,226.84,2.36,,,,
Accipiter_butleri,332.94,2.52,,,,
Accipiter_castanilius,165.05,2.22,,,,
Accipiter_chilensis,376.00,2.58,,,,
Accipiter_chionogaster,235.72,2.37,,,,
Accipiter_cirrocephalus,194.87,2.29,,,,
Accipiter_collaris,332.94,2.52,,,,
Accipiter_cooperii,417.57,2.62,,,,
Accipiter_erythrauchen,156.00,2.19,,,,
Accipiter_erythronemius,129.50,2.11,,,,
Accipiter_erythropus,123.43,2.09,,,,
Accipiter_fasciatus,412.60,2.62,,,,
Accipiter_fasciatus_didimus,329.00,2.52,,,,
Accipiter_fasciatus_fasciatus,562.50,2.75,,,,
Accipiter_francesiae,136.04,2.13,,,,
Accipiter_francesii,162.50,2.21,,,,
Accipiter_gentilis,1009.13,3.00,,,,
Accipiter_gentilis_apache,937.00,2.97,,,,
Accipiter_gentilis_atricapillus,1332.43,3.12,,,,
Accipiter_gentilis_schvedowi,885.00,2.95,,,,
Accipiter_griseiceps,254.57,2.41,,,,
Accipiter_gularis,143.35,2.16,,,,
Accipiter_gundlachi,675.00,2.83,,,,
Accipiter_haplochrous,217.23,2.34,,,,
Accipiter_henicogrammus,332.94,2.52,,,,
Accipiter_henstii,1080.00,3.03,,,,
Accipiter_hiogaster,342.75,2.53,,,,
Accipiter_hiogaster_dampieri,281.00,2.45,,,,
Accipiter_hiogaster_leucosomus,343.00,2.54,,,,
Accipiter_hiogaster_pulchellus,280.00,2.45,,,,
Accipiter_imitator,229.56,2.36,,,,
Accipiter_luteoschistaceus,216.58,2.34,,,,
Accipiter_madagascariensis,211.85,2.33,,,,
Accipiter_melanochlamys,276.00,2.44,,,,
Accipiter_melanoleucus,752.49,2.88,,,,
Accipiter_meyerianus,802.14,2.90,,,,
Accipiter_minullus,85.90,1.93,,,,
Accipiter_nanus,332.94,2.52,,,,
Accipiter_nisus,205.59,2.31,,,,
Accipiter_novaehollandiae,525.58,2.72,,,,
Accipiter_ovampensis,222.49,2.35,,,,
Accipiter_poliocephalus,218.69,2.34,,,,
Accipiter_poliogaster,1369.41,3.14,,,,
Accipiter_princeps,332.94,2.52,,,,
Accipiter_rhodogaster,184.55,2.27,,,,
Accipiter_rufitorques,209.00,2.32,,,,
Accipiter_rufiventris,202.00,2.31,,,,
Accipiter_soloensis,172.19,2.24,,,,
Accipiter_striatus,147.25,2.17,,,,
Accipiter_striatus_venator,132.95,2.12,,,,
Accipiter_superciliosus,102.90,2.01,,,,
Accipiter_tachiro,314.04,2.50,,,,
Accipiter_toussenelii,268.20,2.43,,,,
Accipiter_trinotatus,150.08,2.18,,,,
Accipiter_trivirgatus,273.26,2.44,,,,
Accipiter_ventralis,204.50,2.31,,,,
Accipiter_virgatus,141.12,2.15,,,,
Accipiter_virgatus_affinis,112.00,2.05,,,,
Accipiter_virgatus_confusus,119.50,2.08,,,,
Acentrogobius_caninus,18.90,1.28,,,,
Acentrogobius_moloanus,2.72,0.43,,,,
Acentrogobius_nebulosus,34.80,1.54,,,,
Acentrogobius_viridipunctatus,22.16,1.35,,,,
Acerodon_celebensis,387.65,2.59,,,,
Acerodon_humilis,389.11,2.59,,,,
Acerodon_jubatus,1079.66,3.03,,,,
Acerodon_leucotis,388.87,2.59,,,,
Acerodon_mackloti,468.92,2.67,,,,
Aceros_cassidix,2360.00,3.37,,,,
Aceros_comatus,1470.00,3.17,,,,
Aceros_corrugatus,1590.00,3.20,,,,
Aceros_everetti,1748.80,3.24,,,,
Aceros_leucocephalus,1102.33,3.04,,,,
Aceros_narcondami,732.39,2.86,,,,
Aceros_nipalensis,2423.33,3.38,,,,
Aceros_plicatus,1901.25,3.28,,,,
