"Order","Family","Genus","Best_guess_binomial","Adult_svl_cm","Body_mass_g","Maturity_d","Max_longevity_d","Longevity_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"SQUAMATA","ANGUIDAE","Abronia","Abronia montecristoi",NA,12.1809300032318,NA,NA,NA,NA,NA,NA,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia oaxacae",NA,27.0697918205442,NA,NA,NA,1,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia ochoterenai",NA,24.3110200453691,NA,NA,NA,13,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia ornelasi",NA,14.0964439921094,NA,NA,NA,NA,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia ramirezi",NA,12.1809300032318,NA,NA,NA,NA,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia reidi",NA,15.6837553505407,NA,NA,NA,NA,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia salvadorensis",NA,12.6091376729534,NA,NA,NA,NA,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia smithi",NA,21.813649559215,NA,NA,NA,3.5,NA,"Other",1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia taeniata",NA,48.0919674224864,NA,NA,NA,6.5,"Carnivore",NA,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","ANGUIDAE","Abronia","Abronia vasconcelosii",NA,29.5,NA,2191.5,NA,NA,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus adramitanus",NA,135.559470617552,NA,NA,NA,8.5,NA,"Other",1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus annectans",NA,NA,NA,NA,NA,NA,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus annectens",NA,122.67196155792,NA,NA,NA,NA,NA,NA,5,TRUE,1,1,0,0,1,1,0,0,0,0,1,0,0,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus atricollis",13.262,81.495,365.25,3689.025,2191.5,11.36,"Carnivore","Other",2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus branchi",NA,130.308338922615,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus cyanogaster",10.7,164.3,365.28,NA,NA,9.50009263753111,"Carnivore","Other",10,TRUE,1,1,1,0,0,1,0,0,0,0,1,0,0,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus guentherpetersi",NA,35.5315659284493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus phillipsii",6.7,47.5,NA,NA,NA,NA,"Carnivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","AGAMIDAE","Acanthocercus","Acanthocercus yemensis",NA,86.8480214643151,NA,NA,NA,NA,"Omnivore","Other",1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
"TESTUDINES","CHELIDAE","Acanthochelys","Acanthochelys macrocephala",NA,2897.34358770132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TESTUDINES","CHELIDAE","Acanthochelys","Acanthochelys pallidipectoris",NA,620.08179497804,NA,NA,NA,3.5,NA,NA,4,TRUE,0,0,0,1,1,0,0,0,0,0,1,0,0,NA
"TESTUDINES","CHELIDAE","Acanthochelys","Acanthochelys radiolata",NA,1127.19745617551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TESTUDINES","CHELIDAE","Acanthochelys","Acanthochelys spixii",NA,523.938787514592,NA,2995.05,2995.05,5.03,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
