"";"Parameter";"Median";"CI";"CI_low";"CI_high";"pd";"ROPE_CI";"ROPE_low";"ROPE_high";"ROPE_Percentage";"Rhat";"ESS"
"1";"Intercept[1]";-0,179375835551258;0,95;-0,474158866116958;0,0991816647233665;0,8925;0,95;-0,1;0,1;0,280263157894737;1,00050735114173;7122,78348139581
"2";"Intercept[2]";0,813843037338157;0,95;0,519051549162619;1,12667554119538;1;0,95;-0,1;0,1;0;1,00011575000484;6946,3702842567
"3";"Intercept[3]";1,25799765238263;0,95;0,944218476740922;1,60557017568745;1;0,95;-0,1;0,1;0;1,00012111333482;7258,68793052216
"4";"Latitude";0,199009548797939;0,95;-0,0650641649464945;0,480530476570743;0,929861111111111;0,95;-0,1;0,1;0,223830409356725;0,999786287279541;6997,45801882513
"5";"Intercept[1]";-0,610475986990665;0,95;-1,34158105276477;0,0166085846208025;0,971388888888889;0,95;-0,1;0,1;0,0343567251461988;1,00042851827507;6767,19672107956
"6";"Intercept[2]";0,280428974054957;0,95;-0,36019573578525;0,927912865000369;0,806666666666667;0,95;-0,1;0,1;0,176461988304094;1,00090812277458;6973,70691337903
"7";"Intercept[3]";0,879809771176317;0,95;0,242593446869396;1,62512096774263;0,996805555555556;0,95;-0,1;0,1;0;1,00074955958181;6726,09439355017
"8";"Latitude";-0,0194762074882344;0,95;-0,58232552625647;0,592076331273109;0,528333333333333;0,95;-0,1;0,1;0,286695906432749;1,00039850429956;6214,70672586863
"9";"Intercept[1]";-0,538477134063319;0,95;-0,700158435091051;-0,379264163092892;1;0,95;-0,1;0,1;0;0,999638013501899;7168,053397354
"10";"Intercept[2]";0,51930809438581;0,95;0,358884899731009;0,682767316006806;1;0,95;-0,1;0,1;0;0,999576173258271;7090,08974374197
"11";"Intercept[3]";1,22168967278419;0,95;1,03892895934491;1,4155729051856;1;0,95;-0,1;0,1;0;0,999918173619681;7397,01945082112
"12";"Latitude";-0,193806652516451;0,95;-0,31575120954273;-0,0793219445587689;0,999305555555556;0,95;-0,1;0,1;0,0317251461988304;0,999836232073054;7355,66719271253
"13";"Intercept[1]";-0,079623640010832;0,95;-0,258819169140266;0,102845186307612;0,806111111111111;0,95;-0,1;0,1;0,589181286549708;1,00058554381194;5403,95275293416
"14";"Intercept[2]";0,836485177669241;0,95;0,645901815303286;1,03668241133888;1;0,95;-0,1;0,1;0;1,00065419383467;5690,97626165829
"15";"Intercept[3]";2,26199269340786;0,95;2,02774380283961;2,51148884211283;1;0,95;-0,1;0,1;0;1,00072517212792;5923,28317143025
"16";"Latitude";-0,319079957552161;0,95;-0,461795635504779;-0,175043369702487;1;0,95;-0,1;0,1;0;0,999918133668032;5791,37104693453
"17";"Intercept[1]";-0,6423610389266;0,95;-0,846713636193868;-0,433356968479588;1;0,95;-0,1;0,1;0;1,00019993190416;6362,09941905931
"18";"Intercept[2]";0,629141675045254;0,95;0,423822226208105;0,839153720466682;1;0,95;-0,1;0,1;0;0,999637259739327;6538,53247500104
"19";"Intercept[3]";1,90458349906679;0,95;1,66451212301197;2,1567173664086;1;0,95;-0,1;0,1;0;0,999865990407405;6736,58243589426
"20";"Latitude";-0,126045766952281;0,95;-0,263610589356868;0,0101808795057768;0,965277777777778;0,95;-0,1;0,1;0,348391812865497;0,999925447883352;6792,757355157
"21";"Intercept[1]";-0,699326264294087;0,95;-0,99824546139976;-0,403959760179203;1;0,95;-0,1;0,1;0;1,0008464056535;4363,32159945041
"22";"Intercept[2]";1,10903567339413;0,95;0,804237126754327;1,43355155796039;1;0,95;-0,1;0,1;0;1,00035808021941;4291,10934440125
"23";"Intercept[3]";3,31226387699067;0,95;2,88445422283854;3,79299291519318;1;0,95;-0,1;0,1;0;1,00057752287614;5284,75056945677
"24";"Latitude";-0,490579971925009;0,95;-0,743133204959681;-0,248526843872494;1;0,95;-0,1;0,1;0;1,00040747311964;5232,52339703665
"25";"Intercept[1]";-0,413375854891912;0,95;-0,554739147893415;-0,268271922852855;1;0,95;-0,1;0,1;0;0,999648804562972;6513,97936051475
"26";"Intercept[2]";2,19804891594588;0,95;1,9896316801462;2,42821228105805;1;0,95;-0,1;0,1;0;0,999781012554759;6441,93547287613
"27";"Intercept[3]";2,80666002461101;0,95;2,54262352707487;3,09563115836637;1;0,95;-0,1;0,1;0;0,999834717890562;6539,90911220275
"28";"Latitude";-0,422672039648902;0,95;-0,557368318990475;-0,296525180404844;1;0,95;-0,1;0,1;0;1,00035496693234;6407,5862521366
"29";"Intercept[1]";-1,01075698358838;0,95;-1,27462897587079;-0,77604911571433;1;0,95;-0,1;0,1;0;0,999829077941656;7060,06141540495
"30";"Intercept[2]";1,42383681255917;0,95;1,13922005080581;1,78516463218528;1;0,95;-0,1;0,1;0;0,999998836184243;6813,9142107434
"31";"Intercept[3]";2,58312367172074;0,95;2,08118162083301;3,19650456333501;1;0,95;-0,1;0,1;0;0,999911861423041;6317,43254191025
"32";"Latitude";-0,141424055732316;0,95;-0,329831752626541;0,0426562182066065;0,937361111111111;0,95;-0,1;0,1;0,31827485380117;1,00004252491205;6929,87987471071
"33";"Intercept[1]";-0,976661888730247;0,95;-1,818564932274;-0,27452598543676;0,995833333333333;0,95;-0,1;0,1;0;1,0002421030666;6452,84852379737
"34";"Intercept[2]";0,00396965391679316;0,95;-0,796025961009035;0,737271197550742;0,504027777777778;0,95;-0,1;0,1;0,217397660818713;1,00054941671196;6411,0953008461
"35";"Intercept[3]";1,3660072186596;0,95;0,592162428674;2,23115123874464;0,999722222222222;0,95;-0,1;0,1;0;1,00070600394357;6231,30476587851
"36";"Latitude";0,114561165190479;0,95;-0,472111147697359;0,758442757136582;0,637222222222222;0,95;-0,1;0,1;0,246637426900585;1,00021076533989;6647,48732958397
"37";"Intercept[1]";-0,157529600938553;0,95;-0,309364723504112;-0,00739358092277412;0,980833333333333;0,95;-0,1;0,1;0,214619883040936;0,999689993320008;6181,1648324983
"38";"Intercept[2]";1,16100201227968;0,95;0,998521934064709;1,32914974333588;1;0,95;-0,1;0,1;0;1,00049055822822;5492,13311679146
"39";"Intercept[3]";1,95583236737085;0,95;1,77478997803358;2,14237378665736;1;0,95;-0,1;0,1;0;1,00063959966674;5404,73800022602
"40";"Latitude";-0,58510897140612;0,95;-0,715339923334091;-0,458051913410289;1;0,95;-0,1;0,1;0;0,999823176157963;5898,59037761635
"41";"Intercept[1]";-0,596817110389255;0,95;-0,915739404498475;-0,303226259075222;1;0,95;-0,1;0,1;0;0,999889989217173;6981,70980508029
"42";"Intercept[2]";0,594852423797376;0,95;0,296724984776981;0,892447528329734;1;0,95;-0,1;0,1;0;0,999874201627722;6604,64285902839
"43";"Intercept[3]";1,58654152548879;0,95;1,25593894214253;1,9361082517169;1;0,95;-0,1;0,1;0;1,00011970284954;7495,33991864107
"44";"Latitude";-0,0961698842158987;0,95;-0,276806622736856;0,0855359781383049;0,849027777777778;0,95;-0,1;0,1;0,51374269005848;1,00008426826085;7261,51902880686
"45";"Intercept[1]";-1,49174219231353;0,95;-1,91450554349551;-1,10672409837948;1;0,95;-0,1;0,1;0;0,999655041262906;6701,57922586574
"46";"Intercept[2]";0,204691005489765;0,95;-0,146281467859417;0,554642857081404;0,875277777777778;0,95;-0,1;0,1;0,243421052631579;0,999562357736441;6976,42124243619
"47";"Intercept[3]";1,25854742156404;0,95;0,881951402248912;1,67753457562613;1;0,95;-0,1;0,1;0;1,00023961546112;7114,12776334522
"48";"Latitude";0,384628522922761;0,95;0,087865964452808;0,68581132154502;0,994861111111111;0,95;-0,1;0,1;0,00453216374269006;1,00037244534716;6952,65378998608
